Order Quantity,Sales,Discount,Ship Mode,Profit
6,261.54,0.04,Regular Air,-213.25
49,10123.02,0.07,Delivery Truck,457.81
27,244.57,0.01,Regular Air,46.71
30,4965.7595,0.08,Regular Air,1198.97
19,394.27,0.08,Regular Air,30.94
21,146.69,0.05,Regular Air,4.43
12,93.54,0.03,Regular Air,-54.04
22,905.08,0.09,Regular Air,127.70
21,2781.82,0.07,Express Air,-695.26
44,228.41,0.07,Regular Air,-226.36
45,196.85,0.01,Regular Air,-166.85
32,124.56,0.04,Regular Air,-14.33
32,716.84,0,Regular Air,134.72
31,1474.33,0.04,Regular Air,114.46
15,80.61,0.02,Regular Air,-4.72
46,1815.49,0.03,Regular Air,782.91
16,248.26,0.07,Regular Air,93.80
44,4462.23,0.04,Delivery Truck,440.72
11,663.784,0.25,Regular Air,-481.04
