Starting Salary,Current Salary,Ten Year Avg
"$54,764 ","$126,013 ","$96,675 "
,,
"$57,725 ","$119,437 ","$88,581 "
,,
,,
,,
"$39,185 ","$112,297 ","$74,001 "
,,
"$72,194 ","$103,965 ","$98,670 "
,,
"$45,427 ","$110,235 ","$88,633 "
,,
,,
"$208,748 ","$75,000 ","$145,059 "
,,
"$62,545 ","$142,196 ","$112,327 "
,,
"$57,232 ","$80,600 ","$76,705 "
,,
"$46,981 ","$74,023 ","$66,297 "
,,
"$77,654 ","$195,000 ","$146,681 "
,,
"$108,414 ","$239,286 ","$190,209 "
,,
"$33,215 ","$75,455 ","$65,707 "
,,
"$57,859 ","$180,881 ","$130,225 "
,,
,,
,,
"$64,501 ","$128,134 ","$104,271 "
,,
,,
,,
"$71,098 ","$139,792 ","$107,252 "
,,
,,
"$60,063 ","$166,952 ","$122,939 "
,,
,,
,,
"$54,696 ","$121,743 ","$91,945 "
,,
"$47,363 ","$85,821 ","$73,002 "
,,
,,
"$58,018 ","$86,746 ","$78,538 "
,,
,,
,,
"$58,230 ","$109,515 ","$94,862 "
,,
,,
"$52,376 ","$72,671 ","$66,873 "
,,
,,
"$52,081 ","$99,286 ","$78,306 "
,,
"$48,347 ","$76,503 ","$70,005 "
,,
"$70,875 ","$209,784 ","$152,586 "
,,
"$38,473 ","$62,431 ","$51,083 "
,,
,,
"$60,417 ","$131,794 ","$102,403 "
,,
,,
"$61,793 ","$165,301 ","$119,298 "
,,
"$41,377 ","$99,090 ","$75,326 "
,,
,,
"$73,797 ","$216,704 ","$175,873 "
,,
"$62,715 ","$89,714 ","$82,000 "
,,
"$70,255 ","$65,833 ","$67,654 "
,,
"$51,453 ","$126,475 ","$85,554 "
,,
,,
"$45,437 ","$111,800 ","$82,305 "
,,
"$51,029 ","$138,214 ","$99,465 "
,,
"$57,075 ","$99,397 ","$81,970 "
,,
"$44,447 ","$82,959 ","$68,517 "
,,
"$48,058 ","$97,858 ","$75,725 "
,,
,,
"$60,830 ","$139,630 ","$117,116 "
,,
"$49,981 ","$70,188 ","$59,603 "
,,
"$49,682 ","$60,000 ","$56,561 "
,,
"$52,563 ","$138,442 ","$95,503 "
,,
,,
"$59,240 ","$120,924 ","$97,792 "
,,
"$46,907 ","$93,750 ","$68,199 "
,,
"$34,096 ","$62,188 ","$50,620 "
,,
"$38,826 ","$57,014 ","$50,951 "
,,
"$36,454 ","$64,674 ","$49,281 "
,,
,,
"$32,634 ","$76,250 ","$63,788 "
,,
"$177,260 ","$276,389 ","$215,386 "
,,
"$75,003 ","$140,625 ","$147,916 "
,,
"$134,081 ","$160,000 ","$145,862 "
,,
"$56,148 ","$81,199 ","$71,805 "
,,
"$73,484 ","$60,000 ","$62,247 "
,,
"$63,870 ","$104,920 ","$89,526 "
,,
"$36,162 ","$63,155 ","$53,032 "
,,
"$82,487 ","$163,000 ","$132,808 "
,,
"$52,563 ","$106,814 ","$84,475 "
,,
,,
"$54,259 ","$130,526 ","$108,736 "
,,
"$74,193 ","$153,132 ","$115,740 "
,,
,,
"$49,933 ","$136,668 ","$98,119 "
,,
,,
"$69,501 ","$310,000 ","$184,024 "
,,
"$54,729 ","$123,264 ","$97,563 "
,,
"$104,246 ","$310,055 ","$218,585 "
,,
,,
"$67,611 ","$58,333 ","$62,728 "
,,
"$49,897 ","$56,667 ","$54,732 "
,,
"$48,382 ","$88,863 ","$75,369 "
,,
,,
"$78,310 ","$67,679 ","$67,679 "
,,
"$85,967 ","$145,521 ","$125,669 "
,,
"$53,669 ","$79,167 ","$73,283 "
,,
"$41,175 ","$71,008 ","$57,749 "
,,
"$64,333 ","$78,621 ","$77,322 "
,,
"$42,884 ","$74,643 ","$62,733 "
,,
"$45,723 ","$79,558 ","$63,531 "
,,
"$42,057 ","$129,167 ","$90,451 "
,,
"$392,559 ","$432,029 ","$404,894 "
,,
"$179,876 ","$181,250 ","$180,426 "
,,
"$58,014 ","$55,694 ","$56,230 "
,,
"$247,213 ","$308,269 ","$265,715 "
,,
