Accounting ,54764,126013,96675,,,,,,
Aerospace Engineering ,57725,119437,88581,,,,,,
Agriculture/Horticulture,39185,112297,74001,,,,,,
Animal Studies ,72194,103965,98670,,,,,,
Anthropology,45427,110235,88633,,,,,,
Archaeology,208748,75000,145059,,,,,,
Architecture ,62545,142196,112327,,,,,,
Architecture & Urban Planning Department ,57232,80600,76705,,,,,,
Art & Design Department ,46981,74023,66297,,,,,,
Astronomy,77654,195000,146681,,,,,,
Athletics/Training ,108414,239286,190209,,,,,,
Automotive Engineering,33215,75455,65707,,,,,,
Biology,57859,180881,130225,,,,,,
Business - Management and Administration ,64501,128134,104271,,,,,,
Chemical Engineering ,71098,139792,107252,,,,,,
Chemistry ,60063,166952,122939,,,,,,
Civil Engineering ,54696,121743,91945,,,,,,
Communications,47363,85821,73002,,,,,,
Computer Engineering ,58018,86746,78538,,,,,,
Computer Science ,58230,109515,94862,,,,,,
Criminal ,52376,72671,66873,,,,,,
Cultures/Civilization,52081,99286,78306,,,,,,
Design Arts - Industrial Design/Graphic Design/etc ,48347,76503,70005,,,,,,
Economics ,70875,209784,152586,,,,,,
Education ,38473,62431,51083,,,,,,
Electrical Engineering ,60417,131794,102403,,,,,,
Engineering Department,61793,165301,119298,,,,,,
English ,41377,99090,75326,,,,,,
Finance,73797,216704,175873,,,,,,
Fine Arts - Painting/Sculpture/Photography/etc,62715,89714,82000,,,,,,
Genetics,70255,65833,67654,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
